Post_URL,Comments,Retweets,Likes,Views,Bookmarks,Account Followers,Flagged,Video,Username,Display Name,Account Name,Tweet Text,Replies,Timestamp,Has Video,Has Image,Has Media,Followers,Account Created,Is Retweet,Language,Scraped At,Status
https://x.com/NiKiTa_32156/status/1836441726250287309,,12965,49091,2300000,1050,,,,CensoredMen,Censored Men,Censored Men, Wanting to stop the slaughter of innocent civilians is anti-semitic,2792,2023-12-31T22:10:11.000Z,0,False,False,1000000,December 2022,False,,2025-11-19T13:24:16.343369,success
https://x.com/CensoredMen/status/1741582549518848037,,487,639,1900000,77,,,,plasticpills,PlasticPills,PlasticPills,,64,2023-10-24T13:08:21.000Z,0,False,False,6037,October 2010,False,,2025-11-19T13:24:31.853940,success
https://x.com/plasticpills/status/1716803816551506155,,44,151,6494,4,,,,AlternatNews,Alternative News,Alternative News,"Israel may have access to a lot of money in the US. Huge advertisements outside a building. 

But all the money in the world cannot convince me that ceasefires are antisemitic.",18,2024-01-01T09:50:18.000Z,0,False,False,140100,January 2017,False,,2025-11-19T13:25:03.780292,success
https://x.com/AlternatNews/status/1741758738929779039,,146,280,12700,16,,,,sabra_the,Shiri_Sabra,Shiri_Sabra,"WATCH

An antisemite is cursing the Jewish people & says all the bad things will happen to the Jewish people. 

Then he says, ""If I’m lying to you let the floor beneath me sink.""
And, watch what happens. Gd Almighty answered him  instantly

All those who curse Israel gets cursed",64,2023-12-21T07:42:18.000Z,1,False,True,25400,August 2020,False,,2025-11-19T13:25:19.589757,success
https://x.com/sabra_the/status/1737740258832507079,,,,,,,,,Shnadine7777,Nadin Nabil Al Shaker,Nadin Nabil Al Shaker,,,,0,False,False,2661,October 2008,False,,2025-11-19T13:25:33.678209,success
https://x.com/Shnadine7777/status/1739856482257023331,,2079,1697,81400,26,,,,angelpakaigucci,Inche gabbana,Inche gabbana,Ya Allah… This truly breaks my heart! ,4,2023-12-25T13:49:14.000Z,0,False,False,117200,September 2011,False,,2025-11-19T13:26:02.639315,success
https://x.com/angelpakaigucci/status/1739282153752678696,,5,27,1039,2,,,,danielmkovalik,Dan Kovalik,Dan Kovalik,,0,2023-12-26T12:49:11.000Z,0,False,False,50500,February 2012,False,,2025-11-19T13:26:19.706306,success
https://x.com/danielmkovalik/status/1739629429087764926,,11585,27284,1400000,1632,,,,MyLordBebo,Lord Bebo,Lord Bebo," “Why don’t you let the people pick olives?”

— SA Ambassador to Israel",527,2023-12-10T11:15:36.000Z,1,False,True,716300,April 2019,False,,2025-11-19T13:26:35.547878,success
https://x.com/MyLordBebo/status/1733807674184040914,,89,172,46600,15,,,,RRespawned,Rat Bastard,Rat Bastard,"Apparently 
— SA Ambassador to Israel. Trying to create an incident Not sure why they still have one if Israel was kicked out of SA",204,2023-12-10T16:07:13.000Z,1,False,True,3583,October 2020,False,,2025-11-19T13:26:52.802204,success
https://x.com/RRespawned/status/1733881061019467819,,15,41,9958,4,,,,atul6622,ATUL AWASTHI,ATUL AWASTHI,"#Yemen bombed the #Israeli cargo ship ""Unity Explorer"" American military ships and other Western bases came to Djibouti trying to rescue the #Israeli cargo ship Unity Explorer, which has now sunk in the #RedSea 
#Gaza_War #IsraelPalestineWar #Israeli #Hamas #Palestine #Gaza",3,2023-12-04T02:35:46.000Z,1,False,True,198,April 2010,False,,2025-11-19T13:27:07.661518,success
https://x.com/atul6622/status/1731502525805654518,,219,659,25500,2,,,,mahran_yemen,د. مهران السودي  اليمن,د. مهران السودي  اليمن,"سفن عسكرية أمريكية وأخرى من قواعد غربية في جيبوتي تحاول إنقاذ سفينة الشحن الإسرائيلية Unity Explorer التي تغرق الآن في البحر الأحمر بعد قصفها من اليمن.
#غزة_الآن #يحدث_الآن #با #فلسطين_الان",20,2023-12-03T20:39:20.000Z,1,False,True,54000,December 2021,False,,2025-11-19T13:27:23.838798,success
https://x.com/mahran_yemen/status/1731412825862516772,,4026,8525,324300,77,,,,SoftWarNews,SW News - SOFT WAR NEWS,SW News - SOFT WAR NEWS,"Ansarullah Yaman membom kapal kargo Israel ""Unity Explorer"" Kapal militer Amerika yang mencoba menyelamatkan kapal kargo Israel Unity Explorer, yang kini tenggelam di Laut Merah.",192,2023-12-04T03:33:45.000Z,1,False,True,122700,December 2013,False,,2025-11-19T13:27:40.630144,success
https://x.com/SoftWarNews/status/1731517118573920590,,53,62,5302,1,,,,wenbei2022,文北,文北,"（左）黎巴嫩  准军事组织真主党针对美国和以色列海军在东地中海部署军舰，展示了其努尔反舰导弹。‌‌
（右）以色列国防军攻击了真主党弹药库‌‌…

不知是不是就是左边视频里展示的",2,2023-11-09T02:10:12.000Z,1,False,True,47700,March 2020,False,,2025-11-19T13:27:55.632927,success
https://x.com/wenbei2022/status/1722436396256985191,,59,331,117800,8,,,,__Inty__,Inty News,Inty News,美国军舰抵达地中海后，黎巴嫩真主党公布了一段展示其反舰导弹的视频。,93,2023-11-06T17:32:02.000Z,1,False,True,729900,August 2018,False,,2025-11-19T13:28:10.474037,success
